WBID,Name,Flow_Regim,Notice,Flow_Durat,Site_Visit,WetDry_Map,Water_Watc,GIS_Imager,Modeled,Historical,Other,WSHED,Length_Mi,Webpage,FR_Text,Shape__Len
AZ15060203-459,Ellison Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,Yes,No,VR,10.74789049,www.azdeq.gov/flowregimes,Intermittent,17297.0876669
AZ15040004-398,Cave Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,No,No,UG,2.62850901241,www.azdeq.gov/flowregimes,Perennial,4230.18366844
AZ15080301-009,Gadwell Canyon,E,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,No,Yes,SP,19.5670523001,www.azdeq.gov/flowregimes,Ephemeral,31490.1811973
AZ15060105-353,Christopher Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,Yes,Yes,Yes,No,SR,8.01891713626,www.azdeq.gov/flowregimes,Intermittent,12905.2219902
AZ15020010-086,East Fork Woods Canyon Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,LC,3.14208446618,www.azdeq.gov/flowregimes,Perennial,5056.70489655
AZ15020010-004,Chevelon Canyon,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,Yes,No,LC,7.79530819824,www.azdeq.gov/flowregimes,Intermittent,12545.3575677
AZ15010001-010,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CG,6.27038222725,www.azdeq.gov/flowregimes,Perennial,10091.2221976
AZ15070103-010,Antelope Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,No,No,MG,16.3682225461,www.azdeq.gov/flowregimes,Intermittent,26342.1534296
AZ15010002-841,Garden Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CG,3.30216552579,www.azdeq.gov/flowregimes,Perennial,5314.33090459
AZ14080204-018,Canyon de Chelly,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,No,No,LC,26.9808124053,www.azdeq.gov/flowregimes,Perennial,43421.4954026
AZ15060202-465,Cave Spring,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,VR,0.0963920749745,www.azdeq.gov/flowregimes,Perennial,155.128317764
AZ15040005-1036,Crazy Horse Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,UG,2.14264576906,www.azdeq.gov/flowregimes,Perennial,3448.26100908
AZ15060203-989A,Ashbrook Wash,E,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,No,Yes,VR,5.80787181247,www.azdeq.gov/flowregimes,Ephemeral,9346.88234794
AZ15070102-016,Agua Fria River,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,Yes,No,No,No,MG,6.11567143634,www.azdeq.gov/flowregimes,Intermittent,9842.23881652
AZ15030201-011,Big Sandy River,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,Yes,Yes,Yes,No,BW,7.72901500592,www.azdeq.gov/flowregimes,Intermittent,12438.668803
AZ15040005-1955,Carter Canyon,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,UG,5.00620053016,www.azdeq.gov/flowregimes,Perennial,8056.71489944
AZ15040005-1383,Chitty Canyon Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,Yes,Yes,Yes,No,UG,4.67441538487,www.azdeq.gov/flowregimes,Intermittent,7522.75739866
AZ15030202-011,Burro Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,BW,2.1602376083,www.azdeq.gov/flowregimes,Perennial,3476.57238663
AZ15060102-162-I,Coyote Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,3.08229905094,www.azdeq.gov/flowregimes,Perennial,4960.48940482
AZ15030104-015,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CL,10.7177196802,www.azdeq.gov/flowregimes,Perennial,17248.5323581
AZ15060102-006-I,Diamond Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,21.4211779579,www.azdeq.gov/flowregimes,Perennial,34474.1131678
AZ15010002-013,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CG,52.4575915195,www.azdeq.gov/flowregimes,Perennial,84422.4790114
AZ15060101-014-I,Big Bonito Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,6.62863201802,www.azdeq.gov/flowregimes,Perennial,10667.7705019
AZ15070102-029,Agua Fria River,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,Yes,No,No,No,No,No,MG,6.51458633864,www.azdeq.gov/flowregimes,Intermittent,10484.231405
AZ15040006-852B,Cave Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,UG,1.15592093407,www.azdeq.gov/flowregimes,Perennial,1860.27814028
AZ15060101-008,Beaver Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,No,No,UG,12.5115808902,www.azdeq.gov/flowregimes,Perennial,20135.4779072
AZ15060101-471-I,Bull Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,2.67590062573,www.azdeq.gov/flowregimes,Perennial,4306.45322952
AZ15030202-005A,Boulder Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,Yes,No,BW,2.31645386027,www.azdeq.gov/flowregimes,Intermittent,3727.97857725
AZ15060104-009-I,Carrizo Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,8.87184746702,www.azdeq.gov/flowregimes,Perennial,14277.8830457
AZ15010002-019B,Deer Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,CG,4.95210366701,www.azdeq.gov/flowregimes,Perennial,7969.6542632
AZ15030202-009,Burro Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,Yes,No,BW,15.0523216808,www.azdeq.gov/flowregimes,Perennial,24224.412032
AZ15060102-004-I,East Fork White River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,No,Yes,No,SR,30.490662122,www.azdeq.gov/flowregimes,Perennial,49070.0622821
AZ15020001-221,Benny Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,Yes,No,LC,9.32407037459,www.azdeq.gov/flowregimes,Intermittent,15005.6667243
AZ15070102-022,Agua Fria River,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,Yes,No,No,Yes,Yes,No,MG,16.2195189681,www.azdeq.gov/flowregimes,Intermittent,26102.83774
AZ15040005-988A,Frye Canyon Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,UG,5.12573433649,www.azdeq.gov/flowregimes,Perennial,8249.0862982
AZ15050302-006B,Cienega Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,Yes,No,No,No,Yes,Yes,No,SC,27.0350350181,www.azdeq.gov/flowregimes,Perennial,43508.7584138
AZ15060202-002,Beaver Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,VR,9.26584701709,www.azdeq.gov/flowregimes,Perennial,14911.9651258
AZ15060202-483,Carroll Canyon Wash,E,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,No,Yes,VR,5.01693395866,www.azdeq.gov/flowregimes,Ephemeral,8073.98871274
AZ15050202-1234,Flume,E,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,No,Yes,SP,1.23112093273,www.azdeq.gov/flowregimes,Ephemeral,1981.30104896
AZ15030104-013,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CL,4.99711663088,www.azdeq.gov/flowregimes,Perennial,8042.09575139
AZ15050301-561B,Alum Gulch,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,No,No,SC,1.42643773405,www.azdeq.gov/flowregimes,Intermittent,2295.63359993
AZ15060202-1119,Dow Spring,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,VR,0.0503541779554,www.azdeq.gov/flowregimes,Perennial,81.0373562422
AZ15020001-301,Auger Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,LC,6.29369493183,www.azdeq.gov/flowregimes,Perennial,10128.7404339
AZ15040004-028,Campbell Blue Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,Yes,No,UG,19.6621737862,www.azdeq.gov/flowregimes,Intermittent,31643.2646963
AZ15060102-018-I,Deep Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,9.38129050887,www.azdeq.gov/flowregimes,Perennial,15097.7537882
AZ15060106B-026A,Cave Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,Yes,No,No,No,No,Yes,No,MG,32.9444674075,www.azdeq.gov/flowregimes,Intermittent,53019.0869936
AZ15040005-040B,Ash Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,Yes,No,UG,11.8738904769,www.azdeq.gov/flowregimes,Intermittent,19109.2126142
AZ15050302-153A,Davidson Canyon,E,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SC,13.6166629655,www.azdeq.gov/flowregimes,Ephemeral,21913.9386714
AZ15060203-609,Fossil Springs,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,VR,0.0491748559131,www.azdeq.gov/flowregimes,Perennial,79.1394175934
AZ15060104-001-I,Carrizo Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,2.52553419757,www.azdeq.gov/flowregimes,Perennial,4064.46143658
AZ15040005-030,Bonita Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,Yes,No,No,No,Yes,Yes,No,UG,14.6650050479,www.azdeq.gov/flowregimes,Perennial,23601.085086
AZ15060102-186-I,Earl Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,5.04881983793,www.azdeq.gov/flowregimes,Perennial,8125.30416386
AZ15060102-234-I,Bar H Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,2.86541573223,www.azdeq.gov/flowregimes,Perennial,4611.44883907
AZ15030204-327,Bill Williams River,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,No,Yes,No,BW,7.3534843134,www.azdeq.gov/flowregimes,Intermittent,11834.3095275
AZ15030101-015,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CL,14.0347447892,www.azdeq.gov/flowregimes,Perennial,22586.7774916
AZ15040004-1125,Bob Thomas Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,No,No,No,UG,1.85777359368,www.azdeq.gov/flowregimes,Perennial,2989.80276596
AZ15060101-274,Corduroy Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,No,No,No,SR,3.85620251018,www.azdeq.gov/flowregimes,Perennial,6205.96878448
AZ15070103-239,French Gulch,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,Yes,No,MG,11.0938662969,www.azdeq.gov/flowregimes,Intermittent,17853.8828695
AZ15060103-011-I,Cibecue Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,No,Yes,No,SR,16.505841161,www.azdeq.gov/flowregimes,Perennial,26563.6295646
AZ15010001-008,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CG,4.70390035596,www.azdeq.gov/flowregimes,Perennial,7570.20895488
AZ15030201-001,Big Sandy River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,Yes,No,BW,10.1586151841,www.azdeq.gov/flowregimes,Perennial,16348.7390923
AZ15060104-223-I,Blue Spring,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,0.62741199125,www.azdeq.gov/flowregimes,Perennial,1009.72374309
AZ15060203-031,Camp Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,VR,18.7309027461,www.azdeq.gov/flowregimes,Perennial,30144.5262381
AZ15060106A-583,Fish Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,Yes,Yes,Yes,No,SR,16.3832143506,www.azdeq.gov/flowregimes,Intermittent,26366.2804485
AZ15060102-220-I,Bog Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,10.6092485171,www.azdeq.gov/flowregimes,Perennial,17073.9645935
AZ15020001-023,Davis Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,Yes,No,LC,6.38598033247,www.azdeq.gov/flowregimes,Perennial,10277.2596867
AZ15040005-988B,Frye Canyon Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,Yes,No,No,No,No,No,No,UG,8.57913584839,www.azdeq.gov/flowregimes,Perennial,13806.8084164
AZ15060102-097-I,Elk Canyon,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,3.60797152394,www.azdeq.gov/flowregimes,Perennial,5806.47893719
AZ15050203-022A,Copper Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,No,No,SP,7.61473229796,www.azdeq.gov/flowregimes,Intermittent,12254.7482448
AZ15060104-005-I,Carrizo Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,15.1372613146,www.azdeq.gov/flowregimes,Perennial,24361.1093954
AZ15030204-002,Bill Williams River,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,No,No,No,BW,0.907233729901,www.azdeq.gov/flowregimes,Intermittent,1460.05407992
AZ15050203-899B,Bass Canyon Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,No,No,No,SP,7.9319338945,www.azdeq.gov/flowregimes,Perennial,12765.235752
AZ15010001-001,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CG,1.05652470964,www.azdeq.gov/flowregimes,Perennial,1700.31510295
AZ15060103-885,Five Point Mountain Tributary,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,Yes,No,SR,3.01698986995,www.azdeq.gov/flowregimes,Intermittent,4855.38425604
AZ15020005-436,Brown Spring,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,LC,0.0469265864574,www.azdeq.gov/flowregimes,Perennial,75.521171398
AZ14070006-011,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CG,3.50796768431,www.azdeq.gov/flowregimes,Perennial,5645.53803602
AZ15050202-004,Babocomari River,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,Yes,No,No,No,Yes,Yes,No,SP,32.6666123651,www.azdeq.gov/flowregimes,Intermittent,52571.9217539
AZ15060101-383-I,Ess Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,2.10955831224,www.azdeq.gov/flowregimes,Perennial,3395.01180247
AZ15060101-012-I,Big Bonito Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,1.45890539478,www.azdeq.gov/flowregimes,Perennial,2347.88533943
AZ15060203-024,Fossil Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,Yes,Yes,Yes,No,VR,17.190440703,www.azdeq.gov/flowregimes,Perennial,27665.3879335
AZ15020001-018,Coyote Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,Yes,Yes,Yes,No,LC,28.9110844453,www.azdeq.gov/flowregimes,Perennial,46527.9733415
AZ15010002-518,Boulder Wash,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,CG,1.66339652182,www.azdeq.gov/flowregimes,Perennial,2676.98256598
AZ15010001-006,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CG,2.42948997187,www.azdeq.gov/flowregimes,Perennial,3909.89292907
AZ15070102-020,Agua Fria River,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,Yes,No,No,No,No,No,MG,3.0926509255,www.azdeq.gov/flowregimes,Intermittent,4977.14916534
AZ15060203-588,Calf Pen Canyon,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,No,No,No,VR,6.4735343288,www.azdeq.gov/flowregimes,Intermittent,10418.1644672
AZ15060103-012-I,Canyon Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,15.1632869958,www.azdeq.gov/flowregimes,Perennial,24402.993753
AZ15030202-001,Burro Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,BW,8.15125568976,www.azdeq.gov/flowregimes,Perennial,13118.2006732
AZ15010001-012,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CG,2.06307296829,www.azdeq.gov/flowregimes,Perennial,3320.20074348
AZ15030204-001,Bill Williams River,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,Yes,No,No,No,Yes,Yes,No,BW,11.8762656233,www.azdeq.gov/flowregimes,Intermittent,19113.0350493
AZ15070102-025,Agua Fria River,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,Yes,No,No,No,No,No,MG,0.365933717527,www.azdeq.gov/flowregimes,Intermittent,588.914410528
AZ15020008-008,East Clear Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,Yes,No,LC,17.4416248631,www.azdeq.gov/flowregimes,Perennial,28069.630463
AZ15050301-653,Bond Canyon,E,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,No,Yes,No,SC,5.69737534577,www.azdeq.gov/flowregimes,Ephemeral,9169.05516658
AZ15070102-017,Agua Fria River,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,Yes,No,MG,5.83509454066,www.azdeq.gov/flowregimes,Intermittent,9390.69316983
AZ15060103-801B,Devils Chasm Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,No,No,No,SR,1.56494743074,www.azdeq.gov/flowregimes,Perennial,2518.54379506
AZ15070103-349,Jersey Gulch,E,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,MG,1.32474577599,www.azdeq.gov/flowregimes,Ephemeral,2131.97593007
AZ15040004-1575,Dix Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,Yes,No,UG,1.57649802366,www.azdeq.gov/flowregimes,Intermittent,2537.13270965
AZ15060101-009,Black River East Fork,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,Yes,No,SR,12.3570574565,www.azdeq.gov/flowregimes,Perennial,19886.7960489
AZ15010010-009,Beaver Dam Wash,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,Yes,No,No,No,Yes,No,No,CG,8.94878113132,www.azdeq.gov/flowregimes,Intermittent,14401.6960244
AZ15010001-022,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CG,13.6953216995,www.azdeq.gov/flowregimes,Perennial,22040.5278863
AZ15060101-305,Boneyard Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,No,No,SR,7.9016104538,www.azdeq.gov/flowregimes,Perennial,12716.434807
